scenario,seed,association_mode,config_hash,run_status,geometry_scale_factor_s,derived_range_min_m,derived_range_max_m,derived_nominal_altitude_m,calibration_domain_violation,num_real_targets,num_global_tracks_created,association_accuracy,num_identity_switch_events,has_identity_switch,epoch_level_identity_switches_total,has_epoch_level_identity_switch,same_timestamp_disagreement_occurred,fragmentation_events_total,excess_global_tracks_total,position_rmse_update_m,position_rmse_coasting_m,position_rmse_overall_m,velocity_rmse_update_mps,velocity_rmse_coasting_mps,velocity_rmse_overall_mps,num_samples_update,num_samples_coasting,track_availability_any_active_mean,track_availability_confirmed_mean,mean_nees_6d,mean_nis,num_nis_samples,drop_rate
multi_uav_crossing,3009,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8328996819890142,1,True,1,True,True,0,0,0.0856821136092879,13.582800399805354,12.744464227960645,0.48587973141205876,3.0160519405874235,2.8348781250984376,1026,7550,0.8353909465020576,0.45679012345679015,64603.63524723288,7.151269022945809,1023,0.0
multi_uav_crossing,3009,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.07007284907459797,0.06981235113361949,0.06985136586961561,0.14583449534273485,0.14623106908870445,0.14617183675614095,1536,8736,1.0,0.681755829903978,4.51460710465716,5.8625144202646,1533,0.0
multi_uav_crossing,3010,position_only,dc2328da,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,0.8326105810928014,1,True,1,True,False,0,0,0.1344997536325502,13.501327941008848,12.702581878982782,0.7044011791160623,2.9914668809070943,2.8245760599264442,984,7585,0.8350266086115142,0.4547653604257378,57544.79841078161,8.50577847249437,981,0.0
multi_uav_crossing,3010,full_state,3e628eda,completed,0.45392755843912175,47.39142842945838,95.00000000000001,45.39275584391218,False,3,3,1.0,0,False,0,False,False,0,0,0.09820542984363947,0.09827194195842737,0.09826250402018402,0.14026794124865932,0.14141098332546165,0.14124930407444364,1458,8814,1.0,0.6748911465892599,5.48758541085766,5.734601545360488,1455,0.0
multi_uav_nonlinear,3001,position_only,dc2328da,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,0.954322058398381,1,True,1,True,False,0,0,0.10986612813237978,0.23207350706909796,0.21800729475536096,0.3501155127863579,0.46334609053064885,0.4480344468191196,1492,8356,0.9586894586894587,0.6661918328584996,44.293600776824384,6.288145432443992,1489,0.0
multi_uav_nonlinear,3001,full_state,3e628eda,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,1.0,0,False,0,False,False,0,0,0.0684931229103831,0.07052983518498078,0.07021929912312903,0.1626959503671743,0.16470110053427242,0.16439317698578487,1587,8694,1.0,0.7065527065527065,4.642644451229623,5.916780207009213,1584,0.0
multi_uav_nonlinear,3002,position_only,dc2328da,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,0.9531656548135299,1,True,1,True,False,0,0,0.10921581179527799,0.24072979294540248,0.22630225417959296,0.37383833696602775,0.5161462393809216,0.4978594454064265,1437,8378,0.9558404558404558,0.650997150997151,48.542100900421005,6.411668516858465,1434,0.0
multi_uav_nonlinear,3002,full_state,3e628eda,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,1.0,0,False,0,False,False,0,0,0.07600245311765227,0.07629552722922635,0.0762515752381733,0.1721121397368891,0.1718582191960467,0.17189638560020243,1543,8729,1.0,0.6984805318138653,5.7089064016712925,5.928942981510144,1540,0.0
multi_uav_nonlinear,3003,position_only,dc2328da,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,0.9566348655680833,1,True,1,True,False,0,0,0.10860316011244064,0.23341558282242741,0.21897273925629393,0.3416391777442387,0.47369232032787695,0.4559661089786531,1509,8350,0.960919540229885,0.6671264367816092,42.487222841755596,6.387496748586988,1506,0.0
multi_uav_nonlinear,3003,full_state,3e628eda,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,1.0,0,False,0,False,False,0,0,0.06305366335654808,0.0632210571201405,0.06319496363519829,0.15936273839655538,0.16034977441133344,0.1601961426903955,1603,8669,1.0,0.7094252873563218,4.59052708628356,5.988715352015326,1600,0.0
multi_uav_nonlinear,3004,position_only,dc2328da,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,0.9525874530211044,1,True,1,True,True,0,0,0.10464636735945172,0.2404607260663727,0.22577632151771695,0.3542654619901295,0.48355198631815044,0.4669050734120937,1435,8389,0.9565846599131693,0.6695610226724553,48.77153456274922,6.386427153607676,1432,0.0
multi_uav_nonlinear,3004,full_state,3e628eda,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,1.0,0,False,0,False,False,0,0,0.06215998089234671,0.06376122567950493,0.06352418346019244,0.15851852449929596,0.15982890624742782,0.15963350508580093,1538,8740,1.0,0.7187650747708635,4.77383218365552,5.89015945490187,1535,0.0
multi_uav_nonlinear,3005,position_only,dc2328da,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,0.9476727377854871,1,True,1,True,True,0,0,0.1487560534059704,0.24664121736168826,0.23496929435034955,0.4103023720602659,0.5078219634579382,0.4948525230126825,1419,8351,0.9572649572649573,0.6419753086419754,62.72486929764975,6.609681847419923,1416,0.0
multi_uav_nonlinear,3005,full_state,3e628eda,completed,0.45289472989165636,50.63517013445748,95.0,45.28947298916564,False,3,3,1.0,0,False,0,False,False,0,0,0.0723708428738257,0.07255016174427621,0.07252363752869358,0.15954467881738854,0.1597844377097441,0.15974895872443165,1521,8751,1.0,0.6866096866096866,5.032256000069661,5.982016601140174,1518,0.0
